
Number of requests,Medium response time,Error percentage,Throughput
66000,796.042385ms,0,672.6082574304675
Type,Requests per second,Duration,
rest,10000,3s,
rest,12000,3s,
Response time,Success,Error,End time
285.218687ms,true,-,May  8 14:26:12.235306108
178.045106ms,true,-,May  8 14:26:12.237149322
102.35194ms,true,-,May  8 14:26:12.237153719
88.594956ms,true,-,May  8 14:26:12.237743558
93.056713ms,true,-,May  8 14:26:12.237761859
98.755393ms,true,-,May  8 14:26:12.237863586
89.153722ms,true,-,May  8 14:26:12.238301197
180.187585ms,true,-,May  8 14:26:12.238417513
93.376722ms,true,-,May  8 14:26:12.239595130
201.992036ms,true,-,May  8 14:26:12.239730476
202.783364ms,true,-,May  8 14:26:12.240340792
203.500836ms,true,-,May  8 14:26:12.241007187
203.33259ms,true,-,May  8 14:26:12.241083919
94.329872ms,true,-,May  8 14:26:12.241232554
107.333176ms,true,-,May  8 14:26:12.242171604
7.468148ms,true,-,May  8 14:26:12.242202595
105.017733ms,true,-,May  8 14:26:12.242282241
93.266183ms,true,-,May  8 14:26:12.242291470
104.951021ms,true,-,May  8 14:26:12.242386640
97.948242ms,true,-,May  8 14:26:12.244852251
98.121741ms,true,-,May  8 14:26:12.245112554
98.267945ms,true,-,May  8 14:26:12.245599246
110.857252ms,true,-,May  8 14:26:12.245671483
100.616625ms,true,-,May  8 14:26:12.245833459
184.65609ms,true,-,May  8 14:26:12.245847402
289.798182ms,true,-,May  8 14:26:12.246050956
104.852743ms,true,-,May  8 14:26:12.246191967
185.219057ms,true,-,May  8 14:26:12.246253982
101.772814ms,true,-,May  8 14:26:12.246383369
182.85181ms,true,-,May  8 14:26:12.246401593
5.268997ms,true,-,May  8 14:26:12.247468594
9.696767ms,true,-,May  8 14:26:12.247563744
9.994525ms,true,-,May  8 14:26:12.247743546
183.893004ms,true,-,May  8 14:26:12.247912820
293.684799ms,true,-,May  8 14:26:12.247922427
185.456564ms,true,-,May  8 14:26:12.247937218
16.290424ms,true,-,May  8 14:26:12.249029913
